word,mean_across_iterations,std_across_iterations,year
reputation,0.36479786300000006,0.02352534640669742,2010
harm,0.3682244747999999,0.025844478913422255,2010
liability,0.16827099659999994,0.019457849775621757,2010
obligation,0.03358753271,0.024328986038538596,2010
litigation,0.1919395088,0.02274669140870118,2010
legislation,0.36600825260000003,0.020473852317677108,2010
reputation,0.36842729579999994,0.020322793304789085,2011
harm,0.3429047904000001,0.02615770953171214,2011
liability,0.11654533449999999,0.026585044307640877,2011
obligation,0.027248534974700006,0.022559396173536778,2011
litigation,0.161949369,0.021326569228378132,2011
legislation,0.35148041860000007,0.024615147395082335,2011
reputation,0.39766944000000004,0.017586535588383218,2012
harm,0.3839627856000001,0.024394178567536846,2012
liability,0.14424981331999995,0.023777374870929097,2012
obligation,0.003483876317800001,0.02293238292118714,2012
litigation,0.18839346300000007,0.019085892233342627,2012
legislation,0.3556066651999999,0.020027503108165545,2012
reputation,0.40507909999999997,0.020030848698897673,2013
harm,0.3948757470000001,0.023432087595129405,2013
liability,0.13145561918,0.021136984175412578,2013
obligation,0.0160652721206,0.025543083106751026,2013
litigation,0.18506769799999995,0.021587558746202475,2013
legislation,0.3582691129999999,0.0204043644384774,2013
reputation,0.40295216580000015,0.018885133676553263,2014
harm,0.3859996484,0.020457992515999092,2014
liability,0.14878370118,0.016760744058909413,2014
obligation,0.030264471093999993,0.02079274268491853,2014
litigation,0.22043171719999993,0.015826919969607587,2014
legislation,0.39029588660000003,0.021535476683294964,2014
reputation,0.3842278324,0.017929181763654854,2015
harm,0.38677589019999986,0.020853420401431677,2015
liability,0.1574405262,0.020491306125318756,2015
obligation,0.03040558215799998,0.02410956137686849,2015
litigation,0.21551103800000007,0.01563889989267996,2015
legislation,0.38832368239999987,0.020748003520613494,2015
reputation,0.4252644204,0.01920467956680913,2016
harm,0.40279349379999985,0.02263271789845778,2016
liability,0.16325468839999996,0.020458924588557612,2016
obligation,0.020271464822000006,0.01866832415839464,2016
litigation,0.2774220026,0.01850163433468722,2016
legislation,0.3431482914,0.022709427837940003,2016
reputation,0.3975277386000001,0.021584757767277838,2017
harm,0.3924896767999999,0.022334623693590988,2017
liability,0.18434619519999995,0.01980010659755002,2017
obligation,0.030652546800000003,0.025738615409954826,2017
litigation,0.26160800300000014,0.01958886877454822,2017
legislation,0.3529562696,0.02345254922346805,2017
reputation,0.4216101531999999,0.02243319742360483,2018
harm,0.38595293259999996,0.016903055567356877,2018
liability,0.17728789279999999,0.016950066157205075,2018
obligation,0.057800470970000004,0.01839572485772151,2018
litigation,0.25836837399999996,0.017378306092584842,2018
legislation,0.30385716960000003,0.01947669694205737,2018
reputation,0.4102440195999998,0.018051783184821715,2019
harm,0.4024717562,0.01879433475554974,2019
liability,0.1561979469,0.01579287079776682,2019
obligation,0.011464097034199998,0.018355890010607518,2019
litigation,0.2704364094,0.015210272139300375,2019
legislation,0.34907210379999987,0.019811973286855425,2019
reputation,0.40472214279999996,0.01483557826282949,2020
harm,0.37679065239999987,0.01845937221162553,2020
liability,0.15036846520000002,0.017035529765165803,2020
obligation,0.013840971902599995,0.01784982769943466,2020
litigation,0.260159431,0.018983296895952146,2020
legislation,0.4104553225999999,0.02188226255231586,2020
reputation,0.37801358779999994,0.0161083156730242,2021
harm,0.36249077780000005,0.018088445290879475,2021
liability,0.16818742619999993,0.015932464763855,2021
obligation,0.0034846535483199987,0.019341081826267283,2021
litigation,0.29876927760000005,0.014175462994177369,2021
legislation,0.4277484852000001,0.016044803832251025,2021
reputation,0.353518968,0.017989400314451502,2022
harm,0.3533933974,0.02047019088423893,2022
liability,0.15021413199999997,0.017054398816134304,2022
obligation,0.032264206396999985,0.01941048015438475,2022
litigation,0.29193790780000006,0.015340095743363943,2022
legislation,0.4404310678000001,0.016505208001859475,2022
