word,mean_across_iterations,std_across_iterations,year
respect,0.19247798120000004,0.021547946215702385,2010
invest,0.10208259434000003,0.028597286297161493,2010
uphold,0.16634322608000002,0.02965035497786871,2010
protect,0.3775981774,0.021589577661153703,2010
empower,0.21730725540000007,0.03399263944777374,2010
trust,0.07600544232,0.019314471534343892,2010
respect,0.1934782616,0.027041668403650868,2011
invest,0.058923113366,0.0229306446596541,2011
uphold,0.1673858036,0.025191138934334528,2011
protect,0.379027911,0.025854284398835217,2011
empower,0.15778732609999999,0.024408028674742545,2011
trust,0.07711531586,0.02480942289581921,2011
respect,0.2104893642,0.02566325669931792,2012
invest,0.10565908786000001,0.019920580436720035,2012
uphold,0.09093345836,0.023866741611250183,2012
protect,0.37372498860000003,0.022961879608778206,2012
empower,0.14054859096,0.027321953793274158,2012
trust,0.07916187379999999,0.01952770388173083,2012
respect,0.23273027980000002,0.02611705983846812,2013
invest,0.14211150590000002,0.02463746698044491,2013
uphold,0.12022056061999999,0.02865258865981392,2013
protect,0.3770450918,0.0236126217105602,2013
empower,0.17997956720000002,0.026067046542015148,2013
trust,0.09546813977999997,0.02060449321559954,2013
respect,0.21618713980000007,0.01877908814020461,2014
invest,0.14413058720000002,0.024740254181074305,2014
uphold,0.18674040459999997,0.03375176129771028,2014
protect,0.38658369440000007,0.02180083709634331,2014
empower,0.15199096231999995,0.0267589323270982,2014
trust,0.069196139994,0.019378212228659174,2014
respect,0.23553824220000003,0.020185989226415343,2015
invest,0.15654224200000003,0.025024761656477868,2015
uphold,0.17133201027999995,0.04074376392380919,2015
protect,0.37777818059999996,0.018912640800679642,2015
empower,0.20982627039999993,0.025664735570047573,2015
trust,0.0930817935,0.022439275963586577,2015
respect,0.23517304259999997,0.020375158960858696,2016
invest,0.141713804,0.018175390124124165,2016
uphold,0.1821275212,0.02629755660140098,2016
protect,0.3818103389999999,0.022959950060128905,2016
empower,0.1900090204,0.02106655925449127,2016
trust,0.09319895832,0.01894471112208913,2016
respect,0.20984664319999993,0.02637726320046865,2017
invest,0.13541847716000002,0.02245598476860458,2017
uphold,0.23278223479999993,0.020242605143911168,2017
protect,0.38138052059999994,0.02327122298856175,2017
empower,0.1785889944,0.023390795018024886,2017
trust,0.10507974214,0.021736950411322592,2017
respect,0.23807904000000002,0.01501999859563786,2018
invest,0.14615372456,0.021972985149502793,2018
uphold,0.2320412628,0.028393240145358618,2018
protect,0.3892268046,0.01956890266257095,2018
empower,0.13205954754000002,0.022909450628882392,2018
trust,0.12762377140000003,0.021065897073036858,2018
respect,0.23204038960000006,0.016778116402108124,2019
invest,0.16971975939999998,0.021910920421597105,2019
uphold,0.18882309530000005,0.0321479100313632,2019
protect,0.37371939820000016,0.017636279336250716,2019
empower,0.19782582252,0.02680083371956894,2019
trust,0.13942434218,0.0163958198612507,2019
respect,0.19775488640000005,0.022389490961207015,2020
invest,0.14061994383999996,0.01854416578147941,2020
uphold,0.18126437600000003,0.030730431947548976,2020
protect,0.37222373280000015,0.01841343227601082,2020
empower,0.1581739163,0.028829738589428066,2020
trust,0.10836959373999999,0.023308266603435775,2020
respect,0.2183001516,0.02034854539830699,2021
invest,0.17310275579999998,0.019617573457682055,2021
uphold,0.23337964519999999,0.022446442864461066,2021
protect,0.3495370828,0.017110534653650176,2021
empower,0.1712921758,0.024028671139242255,2021
trust,0.11855322446,0.020932256424637467,2021
respect,0.202278045,0.016784315658940282,2022
invest,0.1618043078,0.01847832001828456,2022
uphold,0.17792579539999995,0.024950089503912195,2022
protect,0.3488442423999999,0.014601965631517368,2022
empower,0.17921091980000006,0.02188564035521022,2022
trust,0.12416223353999996,0.015884651273156747,2022
