,reputation,harm,liability,obligation,litigation,legislation,respect,invest,uphold,protect,empower,trust
0,0.33418334,0.36417568,0.17282614,0.04176274,0.18331836,0.40016374,0.18766142,0.14791965,0.22546726,0.36953017,0.27685687,0.06676802
1,0.33577427,0.318374,0.17112534,0.030166833,0.18429108,0.37234795,0.17981032,0.16792731,0.2418608,0.35785788,0.26588443,0.09199747
2,0.35707134,0.37363288,0.2064963,0.022324465,0.18843266,0.3491852,0.21874553,0.104911014,0.19827802,0.34643504,0.2580114,0.111630835
3,0.40845206,0.39553678,0.17037213,0.0069962847,0.17636651,0.33775762,0.22040924,0.12050963,0.19462897,0.36627957,0.2577279,0.056019574
4,0.40375683,0.37298486,0.18160518,0.0366076,0.19035481,0.35423604,0.17713435,0.09282439,0.22581777,0.4138794,0.25936592,0.061178185
5,0.35324085,0.37183085,0.17460999,0.036981385,0.20123662,0.386903,0.21058004,0.097626425,0.20127194,0.34514675,0.2607247,0.10725094
6,0.34984124,0.35212797,0.17586957,0.040607337,0.20800817,0.3710443,0.21283372,0.07616629,0.18012445,0.39857414,0.19349736,0.08195171
7,0.35905528,0.35757795,0.15983438,0.019284617,0.21862444,0.33414182,0.21184343,0.12545115,0.18081035,0.40236762,0.2181173,0.08856754
8,0.36579916,0.33677843,0.16290163,0.05759093,0.2143639,0.36808532,0.13766286,0.09141167,0.18553431,0.34301013,0.20777369,0.054347873
9,0.36122406,0.3627612,0.14418317,0.08763802,0.20856173,0.40606195,0.19148591,0.093009025,0.16281758,0.38310772,0.22020386,0.06633038
10,0.35403472,0.3219395,0.1408683,-0.03953753,0.20688702,0.33546215,0.20019853,0.09127217,0.21617,0.40568817,0.23480882,0.044889927
11,0.33242276,0.3308653,0.18889777,0.018938819,0.22624758,0.3388534,0.20433737,0.10449777,0.19735996,0.36127228,0.27845305,0.090148054
12,0.37341136,0.34825167,0.15730765,0.018364485,0.20364104,0.36126462,0.20137767,0.1262346,0.19400094,0.36703923,0.25986263,0.09055062
13,0.40753603,0.3495235,0.17473334,0.057313338,0.25401035,0.3846019,0.21719609,0.11995241,0.17519459,0.3767245,0.23578072,0.10292765
14,0.33552504,0.32683477,0.2116673,0.025299778,0.197323,0.3513637,0.19901033,0.15335165,0.19204873,0.37590533,0.26026025,0.06532053
15,0.3404561,0.3523015,0.16679145,0.0606323,0.15116161,0.36100787,0.18335487,0.12729515,0.17813922,0.40665185,0.29372215,0.054625377
16,0.41767335,0.37924036,0.17558134,0.056819934,0.21216017,0.35796836,0.21214192,0.083925754,0.17813884,0.38587058,0.26251808,0.054632097
17,0.38476953,0.38234323,0.1574423,0.013324585,0.2169364,0.35579848,0.20047833,0.0995227,0.13867825,0.40146545,0.25096187,0.092213295
18,0.35923764,0.38777915,0.1492654,0.027313046,0.22127905,0.3594177,0.18675537,0.12056946,0.14724337,0.3695449,0.21876685,0.0778165
19,0.38470396,0.39767754,0.19840972,0.011714548,0.17628472,0.37747192,0.15938234,0.0670665,0.12910104,0.3455267,0.16388823,0.068971656
20,0.37714246,0.36054674,0.14763714,0.0380943,0.15903449,0.36445647,0.15116918,0.111617185,0.14131336,0.43447846,0.1925302,0.10283055
21,0.35143235,0.33757216,0.19936267,0.015105395,0.16139367,0.3410835,0.1751402,0.097310185,0.11295784,0.35547367,0.20833853,0.099278174
22,0.3408851,0.36859936,0.19677384,0.04827256,0.19054365,0.3625991,0.21592121,0.09150886,0.13974102,0.36925903,0.22038741,0.07134101
23,0.37496704,0.41435048,0.19112913,0.031078191,0.18626028,0.37350124,0.20557319,0.103114806,0.1453659,0.3804673,0.21272962,0.09345746
24,0.3684173,0.35676423,0.19979414,0.059462044,0.17107551,0.36634368,0.17507726,0.06863283,0.12042152,0.35582656,0.22492053,0.07541353
